SMILES,IL_SMILES,T/K,r,Normalized SMILES,index
Cc1ccccc1,CCCCCC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,353.15,3.17,CCCCCC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,13
Cc1ccccc1,CCCCCC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,363.15,3.2,CCCCCC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,13
Cc1ccccc1,CCCCCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,303.15,1.52,CCCCCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,14
Cc1ccccc1,CCCCCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,313.15,1.49,CCCCCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,14
Cc1ccccc1,CCCCCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,323.15,1.47,CCCCCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,14
Cc1ccccc1,CCCCCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,333.15,1.43,CCCCCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,14
Cc1ccccc1,CCCCCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,343.15,1.41,CCCCCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,14
Cc1ccccc1,CCCCCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,353.15,1.4,CCCCCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,14
Cc1ccccc1,CCCCCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,363.15,1.35,CCCCCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,14
Cc1ccccc1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.OCCC[n+]1ccccc1,318.15,2.36,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.OCCC[n+]1ccccc1,15
Cc1ccccc1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.OCCC[n+]1ccccc1,328.15,2.37,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.OCCC[n+]1ccccc1,15
Cc1ccccc1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.OCCC[n+]1ccccc1,338.15,2.38,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.OCCC[n+]1ccccc1,15
Cc1ccccc1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.OCCC[n+]1ccccc1,348.15,2.39,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.OCCC[n+]1ccccc1,15
